                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5008,                 1.1503,                 1.0217,                0.35588,                  0.277,                0.26088,                 0.1452,                 1.4296,                 1.0597,                0.99049,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.507,                 1.1435,                 1.0215,                0.36816,                0.26941,                0.25948,                0.14405,                 1.4262,                 1.0641,                 0.9882,               0.008317,               0.008317,               0.008317
                     37,                 1.4974,                 1.1354,                 1.0168,                0.34646,                0.28355,                0.26138,                0.14736,                 1.4153,                 1.0564,                0.98437,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4858,                 1.1278,                 1.0154,                0.36098,                0.28322,                0.26728,                0.15016,                 1.4131,                 1.0441,                 0.9836,               0.008218,               0.008218,               0.008218
                     39,                 1.4851,                 1.1262,                 1.0188,                0.38042,                0.28509,                0.26882,                0.15066,                 1.4107,                 1.0454,                0.98126,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4791,                  1.124,                 1.0148,                0.36697,                0.28151,                0.26824,                0.15084,                 1.4019,                 1.0361,                0.97871,               0.008119,               0.008119,               0.008119
                     41,                 1.4883,                 1.1232,                 1.0168,                  0.373,                0.28293,                0.27119,                0.15225,                 1.4032,                 1.0333,                0.97872,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4766,                 1.1095,                 1.0127,                0.36558,                 0.2852,                0.27286,                0.15353,                 1.4016,                 1.0335,                0.97886,                0.00802,                0.00802,                0.00802
                     43,                 1.4786,                 1.1108,                 1.0134,                0.36971,                0.29422,                0.27433,                0.15427,                 1.3949,                 1.0283,                0.97814,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4788,                 1.1176,                 1.0102,                0.38508,                0.28894,                0.27519,                0.15444,                 1.3934,                 1.0263,                0.97729,               0.007921,               0.007921,               0.007921
                     45,                 1.4774,                 1.1076,                  1.013,                0.37744,                0.29085,                0.27774,                 0.1555,                 1.3864,                 1.0198,                0.97386,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4656,                 1.0996,                  1.009,                0.39332,                0.28649,                0.28049,                0.15728,                 1.3866,                 1.0211,                0.97453,               0.007822,               0.007822,               0.007822
                     47,                 1.4682,                 1.1034,                 1.0102,                0.38921,                0.28158,                0.27752,                0.15712,                 1.3858,                 1.0197,                0.97427,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4583,                 1.0952,                 1.0112,                 0.3767,                0.29441,                0.28131,                0.15745,                 1.3829,                 1.0171,                 0.9728,               0.007723,               0.007723,               0.007723
                     49,                 1.4529,                 1.0909,                 1.0052,                0.38789,                0.28955,                0.27974,                0.15723,                 1.3857,                 1.0193,                0.97424,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4509,                 1.0865,                 1.0049,                 0.3918,                0.29326,                0.28357,                0.15941,                 1.3834,                 1.0162,                0.97471,               0.007624,               0.007624,               0.007624
                     51,                 1.4477,                 1.0836,                 1.0015,                0.39252,                0.29601,                0.28574,                0.16075,                 1.3713,                 1.0083,                0.97073,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.4439,                 1.0778,                 1.0019,                0.39671,                0.29622,                0.28862,                0.16218,                 1.3768,                 1.0031,                0.97203,               0.007525,               0.007525,               0.007525
                     53,                 1.4515,                 1.0849,                 1.0034,                  0.387,                0.29996,                0.28739,                0.16325,                 1.3724,                 1.0036,                0.97063,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4448,                 1.0692,                 1.0006,                0.39035,                0.29268,                0.28799,                0.16245,                 1.3665,                0.99754,                0.96976,               0.007426,               0.007426,               0.007426
                     55,                 1.4375,                  1.074,                 1.0005,                0.39346,                0.29567,                0.28775,                0.16193,                 1.3722,                 1.0044,                0.97054,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4314,                 1.0658,                0.99982,                0.39011,                0.30074,                0.28807,                0.16217,                 1.3664,                0.99603,                0.96923,               0.007327,               0.007327,               0.007327
                     57,                 1.4372,                 1.0656,                 1.0012,                0.38749,                0.30153,                0.28814,                0.16235,                  1.367,                 1.0002,                 0.9696,              0.0072775,              0.0072775,              0.0072775
                     58,                  1.431,                 1.0656,                 1.0004,                0.38745,                0.29855,                 0.2888,                0.16207,                 1.3659,                0.99736,                0.96997,               0.007228,               0.007228,               0.007228
                     59,                 1.4363,                 1.0617,                0.99765,                0.39163,                0.30434,                0.29005,                0.16343,                  1.362,                0.99545,                 0.9675,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4328,                 1.0633,                0.99984,                0.40076,                0.30133,                0.29376,                0.16632,                 1.3565,                0.98841,                0.96685,               0.007129,               0.007129,               0.007129
                     61,                 1.4259,                 1.0549,                0.99949,                0.39946,                0.29963,                0.29226,                0.16647,                  1.356,                0.98889,                0.96531,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.4215,                 1.0539,                0.99582,                0.39459,                0.30414,                 0.2945,                0.16657,                 1.3585,                0.98717,                0.96771,                0.00703,                0.00703,                0.00703
